left_boundary = 2.000000
lower_boundary = 7.200000
sann 0
next
shape
title_x  = Time(s)
title_y  =  Throughput (Mbps)
color  = blue
thickness  = 2
title  = Troughput Graph
0  0.0
0.90000000000000002  0.0
1.8  0.0
2.7000000000000002  0.0
3.6000000000000001  0.0
4.5  0.0
5.4000000000000004  0.0
6.3000000000000007  0.0
7.2000000000000011  0.0
8.1000000000000014  0.0
9.0000000000000018  0.0
9.9000000000000021  0.0
10.800000000000002  0.0
11.700000000000003  0.0
12.600000000000003  0.0
13.500000000000004  0.0
14.400000000000004  0.0
15.300000000000004  0.0
16.200000000000003  0.0
17.100000000000001  0.0
18  0.0
18.899999999999999  0.0
19.799999999999997  0.0
20.699999999999996  0.0
21.599999999999994  0.0
22.499999999999993  0.0
23.399999999999991  0.0
24.29999999999999  0.0
25.199999999999989  0.0
26.099999999999987  0.0
26.999999999999986  0.0
27.899999999999984  0.0
28.799999999999983  0.0
29.699999999999982  0.0
30.59999999999998  0.0
31.499999999999979  0.020799999999999999
32.399999999999977  0.071999999999999995
33.299999999999976  0.098000000000000004
34.199999999999974  0.085199999999999998
35.099999999999973  0.077200000000000005
35.999999999999972  0.073599999999999999
36.89999999999997  0.075200000000000003
37.799999999999969  0.078799999999999995
38.699999999999967  0.078799999999999995
39.599999999999966  0.076399999999999996
40.499999999999964  0.071599999999999997
41.399999999999963  0.071199999999999999
42.299999999999962  0.065199999999999994
43.19999999999996  0.049599999999999998
44.099999999999959  0.051999999999999998
44.999999999999957  0.072800000000000004
45.899999999999956  0.079200000000000007
46.799999999999955  0.069199999999999998
47.699999999999953  0.071199999999999999
48.599999999999952  0.085599999999999996
49.49999999999995  0.080000000000000002
50.399999999999949  0.074399999999999994
51.299999999999947  0.072800000000000004
52.199999999999946  0.067599999999999993
53.099999999999945  0.075200000000000003
53.999999999999943  0.077600000000000002
54.899999999999942  0.067599999999999993
55.79999999999994  0.070000000000000007
56.699999999999939  0.064000000000000001
57.599999999999937  0.068000000000000005
58.499999999999936  0.082000000000000003
59.399999999999935  0.077200000000000005
60.299999999999933  0.076799999999999993
61.199999999999932  0.071999999999999995
62.09999999999993  0.075200000000000003
62.999999999999929  0.076399999999999996
63.899999999999928  0.069599999999999995
64.799999999999926  0.075999999999999998
65.699999999999932  0.070800000000000002
66.599999999999937  0.067199999999999996
67.499999999999943  0.073200000000000001
68.399999999999949  0.0688
69.299999999999955  0.066799999999999998
70.19999999999996  0.070400000000000004
71.099999999999966  0.076799999999999993
71.999999999999972  0.078399999999999997
72.899999999999977  0.069199999999999998
73.799999999999983  0.053199999999999997
74.699999999999989  0.024400000000000002
75.599999999999994  0.0083999999999999995
76.5  0.0083999999999999995
77.400000000000006  0.0152
78.300000000000011  0.031600000000000003
79.200000000000017  0.034799999999999998
80.100000000000023  0.034000000000000002
81.000000000000028  0.037600000000000001
81.900000000000034  0.041200000000000001
82.80000000000004  0.024799999999999999
83.700000000000045  0.023599999999999999
84.600000000000051  0.046800000000000001
85.500000000000057  0.028799999999999999
86.400000000000063  0.002
87.300000000000068  0.0
88.200000000000074  0.0
89.10000000000008  0.0
90.000000000000085  0.0
90.900000000000091  0.0
91.800000000000097  0.0
92.700000000000102  0.0
93.600000000000108  0.0
94.500000000000114  0.0
95.400000000000119  0.0
96.300000000000125  0.0
97.200000000000131  0.0
98.100000000000136  0.0
99.000000000000142  0.0
99.900000000000148  0.0
sann 1
